,name,link
59,Shailey & Katie: Design Moms Finding the Happy Balance as Work-from-home Entrepreneurs,https://itunes.apple.com/us/podcast/shailey-katie-design-moms-finding-happy-balance-as/id1121309232?mt=2
60,Obsessed With Design,https://itunes.apple.com/us/podcast/obsessed-with-design/id1088398598?mt=2
61,On the Grid,https://itunes.apple.com/us/podcast/on-the-grid/id547928774?mt=2
62,Ted Wells living : simple,https://itunes.apple.com/us/podcast/ted-wells-living-simple/id85496087?mt=2
63,Style Matters,https://itunes.apple.com/us/podcast/style-matters/id1025244022?mt=2
64,EntreArchitect Podcast with Mark R. LePage,https://itunes.apple.com/us/podcast/entrearchitect-podcast-with-mark-r-lepage/id593303704?mt=2
65,Smart Creative Women with Monica Lee,https://itunes.apple.com/us/podcast/smart-creative-women-with-monica-lee/id794037151?mt=2
66,The Game Design Round Table,https://itunes.apple.com/us/podcast/the-game-design-round-table/id578641256?mt=2
67,The Chaise Lounge: Interior Design,https://itunes.apple.com/us/podcast/the-chaise-lounge-interior-design/id926201491?mt=2
68,The UX Intern,https://itunes.apple.com/us/podcast/the-ux-intern/id684613036?mt=2
69,The Architecture Happy Hour,https://itunes.apple.com/us/podcast/the-architecture-happy-hour/id338879769?mt=2
70,Voices of Design,https://itunes.apple.com/us/podcast/voices-of-design/id254584029?mt=2
71,Why Do We Have Things?,https://itunes.apple.com/us/podcast/why-do-we-have-things/id1071491707?mt=2
72,Decorating Tips and Tricks,https://itunes.apple.com/us/podcast/decorating-tips-and-tricks/id1199677372?mt=2
73,Resourceful Designer - Resources to help streamline your graphic design and web design business.,https://itunes.apple.com/us/podcast/resourceful-designer-resources-to-help-streamline-your/id1040570923?mt=2
74,Big Illustration Party Time,https://itunes.apple.com/us/podcast/big-illustration-party-time/id302051677?mt=2
75,The Jennifer Allwood Show,https://itunes.apple.com/us/podcast/the-jennifer-allwood-show/id1206006469?mt=2
76,Design Critique: Products for People,https://itunes.apple.com/us/podcast/design-critique-products-for-people/id107099445?mt=2
77,Dear Handmade Life,https://itunes.apple.com/us/podcast/dear-handmade-life/id957276203?mt=2
78,School of Motion Podcast,https://itunes.apple.com/us/podcast/school-of-motion-podcast/id1211312212?mt=2
79,The Crazy One,https://itunes.apple.com/us/podcast/the-crazy-one/id1128248295?mt=2
80,Clients From Hell Podcast,https://itunes.apple.com/us/podcast/clients-from-hell-podcast/id993029563?mt=2
81,Everyday Paintings: A Video Paintcast™,https://itunes.apple.com/us/podcast/everyday-paintings-a-video-paintcast/id119356095?mt=2
82,Live Inspired,https://itunes.apple.com/us/podcast/live-inspired/id1052834749?mt=2
83,Late Nights with Trav and Los,https://itunes.apple.com/us/podcast/late-nights-with-trav-and-los/id944869246?mt=2
84,The Graphic Sound,https://itunes.apple.com/us/podcast/the-graphic-sound/id1076599250?mt=2
85,My Life In Letters,https://itunes.apple.com/us/podcast/my-life-in-letters/id1170942266?mt=2
86,"Affordable Interior Design presents Big Design, Small Budget",https://itunes.apple.com/us/podcast/affordable-interior-design-presents-big-design-small/id978986960?mt=2
87,knit obsession with zknits,https://itunes.apple.com/us/podcast/knit-obsession-with-zknits/id273837429?mt=2
88,Proof to Product,https://itunes.apple.com/us/podcast/proof-to-product/id1226904668?mt=2
89,Brass Needles » Brass Needles,https://itunes.apple.com/us/podcast/brass-needles-brass-needles/id421778671?mt=2
90,The Game Design Dojo Podcast,https://itunes.apple.com/us/podcast/the-game-design-dojo-podcast/id732703831?mt=2
91,Makers,https://itunes.apple.com/us/podcast/makers/id1071966581?mt=2
92,The Off-Kilter Quilt,https://itunes.apple.com/us/podcast/the-off-kilter-quilt/id372536736?mt=2
93,The Infinite Now,https://itunes.apple.com/us/podcast/the-infinite-now/id1015729196?mt=2
94,The Merriweather Council Podcast,https://itunes.apple.com/us/podcast/the-merriweather-council-podcast/id1139397167?mt=2
95,Icon-o-Cast: a podcast by LUNAR,https://itunes.apple.com/us/podcast/icon-o-cast-a-podcast-by-lunar/id78230141?mt=2
96,Positively Creative,https://itunes.apple.com/us/podcast/positively-creative/id1237316013?mt=2
97,Tokyo Midtown presents The Lifestyle MUSEUM,https://itunes.apple.com/us/podcast/tokyo-midtown-presents-the-lifestyle-museum/id278170377?mt=2
98,Working File,https://itunes.apple.com/us/podcast/working-file/id1095159618?mt=2
99,WordPress Tips | Learn how to Create Awesome Websites using WordPress and Divi,https://itunes.apple.com/us/podcast/wordpress-tips-learn-how-to-create-awesome-websites/id550812149?mt=2
100,"Build Your House Yourself University: Listen, Learn, Build Your Own Home",https://itunes.apple.com/us/podcast/build-your-house-yourself-university-listen-learn-build/id1080215490?mt=2
101,Webcomics Weekly,https://itunes.apple.com/us/podcast/webcomics-weekly/id263044864?mt=2
102,Passive Income for Designers,https://itunes.apple.com/us/podcast/passive-income-for-designers/id1082135995?mt=2
103,CrochetCast,https://itunes.apple.com/us/podcast/crochetcast/id129562224?mt=2
104,Archinect Sessions,https://itunes.apple.com/us/podcast/archinect-sessions/id928222819?mt=2
105,euromaxx Highlights | Video Podcast | Deutsche Welle,https://itunes.apple.com/us/podcast/euromaxx-highlights-video-podcast-deutsche-welle/id264972046?mt=2
106,"A History of Architecture, the Fundamental Process Podcast",https://itunes.apple.com/us/podcast/a-history-of-architecture-the-fundamental-process-podcast/id959437457?mt=2
107,Revision Path,https://itunes.apple.com/us/podcast/revision-path/id834173190?mt=2
108,Creative South Podcast,https://itunes.apple.com/us/podcast/creative-south-podcast/id1081610301?mt=2
109,"The Busy Creator Podcast with Prescott Perez-Fox - conversations on creative culture, workflow & pro...",https://itunes.apple.com/us/podcast/busy-creator-podcast-prescott-perez-fox-conversations/id816956921?mt=2
110,Jackie's Quilting Chronicles,https://itunes.apple.com/us/podcast/jackies-quilting-chronicles/id322851404?mt=2
111,Creative Biz Rebellion,https://itunes.apple.com/us/podcast/creative-biz-rebellion/id1153440803?mt=2
112,Eureka by Baron Fig,https://itunes.apple.com/us/podcast/eureka-by-baron-fig/id1258300679?mt=2
113,The Hacking UI Podcast,https://itunes.apple.com/us/podcast/the-hacking-ui-podcast/id1078107474?mt=2
